spectral_axis,intensity
4004.8,4.10E-15
4008.8,4.10E-15
4012.8,4.05E-15
4016.8,4.02E-15
4020.9,4.01E-15
4024.9,3.92E-15
4028.9,4.04E-15
4032.9,4.06E-15
4037,4.03E-15
4041,3.97E-15
4045,3.89E-15
4049,3.97E-15
4053,3.99E-15
4057.1,3.93E-15
4061.1,3.92E-15
4065.1,3.88E-15
4069.1,3.72E-15
4073.2,4.02E-15
4077.2,4.09E-15
4081.2,3.69E-15
4085.2,3.67E-15
4089.3,3.66E-15
4093.3,3.68E-15
4097.3,3.70E-15
4101.3,3.74E-15
4105.4,3.70E-15
4109.4,3.67E-15
4113.4,3.64E-15
4117.4,3.68E-15
4121.5,3.73E-15
4125.5,3.77E-15
4129.5,3.75E-15
4133.5,3.69E-15
4137.5,3.68E-15
4141.6,3.75E-15
4145.6,3.81E-15
4149.6,3.72E-15
4153.6,3.68E-15
4157.7,3.63E-15
4161.7,3.71E-15
4165.7,3.72E-15
4169.7,3.68E-15
4173.8,3.70E-15
4177.8,3.68E-15
4181.8,3.67E-15
4185.8,3.67E-15
4189.9,3.65E-15
4193.9,3.64E-15
4197.9,3.66E-15
4201.9,3.68E-15
4206,3.64E-15
4210,3.67E-15
4214,3.63E-15
4218,3.59E-15
4222,3.58E-15
4226.1,3.60E-15
4230.1,3.59E-15
4234.1,3.56E-15
4238.1,3.57E-15
4242.2,3.54E-15
4246.2,3.54E-15
4250.2,3.54E-15
4254.2,3.53E-15
4258.3,3.56E-15
4262.3,3.52E-15
4266.3,3.45E-15
4270.3,3.49E-15
4274.4,3.51E-15
4278.4,3.51E-15
4282.4,3.50E-15
4286.4,3.47E-15
4290.5,3.47E-15
4294.5,3.46E-15
4298.5,3.45E-15
4302.5,3.45E-15
4306.5,3.50E-15
4310.6,3.54E-15
4314.6,3.51E-15
4318.6,3.57E-15
4322.6,3.45E-15
4326.7,3.52E-15
4330.7,3.49E-15
4334.7,3.51E-15
4338.7,3.46E-15
4342.8,3.46E-15
4346.8,3.46E-15
4350.8,3.42E-15
4354.8,3.42E-15
4358.9,3.46E-15
4362.9,3.41E-15
4366.9,3.41E-15
4370.9,3.41E-15
4374.9,3.38E-15
4379,3.31E-15
4383,3.32E-15
4387,3.25E-15
4391,3.29E-15
4395.1,3.29E-15
4399.1,3.22E-15
4403.1,3.23E-15
4407.1,3.24E-15
4411.2,3.19E-15
4415.2,3.28E-15
4419.2,3.24E-15
4423.2,3.27E-15
4427.3,3.27E-15
4431.3,3.26E-15
4435.3,3.27E-15
4439.3,3.28E-15
4443.4,3.28E-15
4447.4,3.28E-15
4451.4,3.30E-15
4455.4,3.31E-15
4459.4,3.35E-15
4463.5,3.36E-15
4467.5,3.34E-15
4471.5,3.36E-15
4475.5,3.33E-15
4479.6,3.35E-15
4483.6,3.32E-15
4487.6,3.33E-15
4491.6,3.29E-15
4495.7,3.29E-15
4499.7,3.24E-15
4503.7,3.20E-15
4507.7,3.21E-15
4511.8,3.16E-15
4515.8,3.20E-15
4519.8,3.11E-15
4523.8,3.07E-15
4527.9,3.08E-15
4531.9,3.06E-15
4535.9,3.00E-15
4539.9,3.05E-15
4543.9,3.06E-15
4548,3.05E-15
4552,3.06E-15
4556,3.07E-15
4560,3.04E-15
4564.1,3.01E-15
4568.1,3.03E-15
4572.1,3.03E-15
4576.1,3.00E-15
4580.2,3.06E-15
4584.2,3.07E-15
4588.2,3.08E-15
4592.2,3.09E-15
4596.3,3.09E-15
4600.3,2.97E-15
4604.3,2.96E-15
4608.3,2.96E-15
4612.4,2.88E-15
4616.4,2.84E-15
4620.4,2.86E-15
4624.4,2.81E-15
4628.4,2.77E-15
4632.5,2.78E-15
4636.5,2.76E-15
4640.5,2.77E-15
4644.5,2.79E-15
4648.6,2.79E-15
4652.6,2.77E-15
4656.6,2.77E-15
4660.6,2.76E-15
4664.7,2.78E-15
4668.7,2.76E-15
4672.7,2.73E-15
4676.7,2.75E-15
4680.8,2.74E-15
4684.8,2.71E-15
4688.8,2.72E-15
4692.8,2.75E-15
4696.8,2.74E-15
4700.9,2.75E-15
4704.9,2.80E-15
4708.9,2.80E-15
4712.9,2.82E-15
4717,2.86E-15
4721,2.89E-15
4725,2.88E-15
4729,2.93E-15
4733.1,2.97E-15
4737.1,3.01E-15
4741.1,3.01E-15
4745.1,3.04E-15
4749.2,3.06E-15
4753.2,3.01E-15
4757.2,2.92E-15
4761.2,2.94E-15
4765.3,2.94E-15
4769.3,2.89E-15
4773.3,2.84E-15
4777.3,2.82E-15
4781.3,2.82E-15
4785.4,2.82E-15
4789.4,2.75E-15
4793.4,2.73E-15
4797.4,2.71E-15
4801.5,2.68E-15
4805.5,2.66E-15
4809.5,2.71E-15
4813.5,2.65E-15
4817.6,2.69E-15
4821.6,2.69E-15
4825.6,2.71E-15
4829.6,2.75E-15
4833.7,2.73E-15
4837.7,2.73E-15
4841.7,2.71E-15
4845.7,2.73E-15
4849.8,2.67E-15
4853.8,2.63E-15
4857.8,2.57E-15
4861.8,2.57E-15
4865.8,2.58E-15
4869.9,2.56E-15
4873.9,2.56E-15
4877.9,2.54E-15
4881.9,2.55E-15
4886,2.61E-15
4890,2.61E-15
4894,2.65E-15
4898,2.66E-15
4902.1,2.68E-15
4906.1,2.68E-15
4910.1,2.67E-15
4914.1,2.65E-15
4918.2,2.67E-15
4922.2,2.63E-15
4926.2,2.62E-15
4930.2,2.61E-15
4934.3,2.58E-15
4938.3,2.60E-15
4942.3,2.58E-15
4946.3,2.61E-15
4950.3,2.62E-15
4954.4,2.65E-15
4958.4,2.64E-15
4962.4,2.66E-15
4966.4,2.69E-15
4970.5,2.71E-15
4974.5,2.74E-15
4978.5,2.79E-15
4982.5,2.80E-15
4986.6,2.82E-15
4990.6,2.83E-15
4994.6,2.89E-15
4998.6,2.90E-15
5002.7,2.93E-15
5006.7,3.01E-15
5010.7,3.07E-15
5014.7,3.17E-15
5018.7,3.23E-15
5022.8,3.26E-15
5026.8,3.28E-15
5030.8,3.25E-15
5034.8,3.24E-15
5038.9,3.15E-15
5042.9,3.12E-15
5046.9,3.08E-15
5050.9,2.99E-15
5055,2.93E-15
5059,2.88E-15
5063,2.84E-15
5067,2.80E-15
5071.1,2.75E-15
5075.1,2.72E-15
5079.1,2.72E-15
5083.1,2.68E-15
5087.2,2.63E-15
5091.2,2.64E-15
5095.2,2.62E-15
5099.2,2.57E-15
5103.2,2.58E-15
5107.3,2.54E-15
5111.3,2.53E-15
5115.3,2.51E-15
5119.3,2.49E-15
5123.4,2.48E-15
5127.4,2.46E-15
5131.4,2.45E-15
5135.4,2.43E-15
5139.5,2.43E-15
5143.5,2.44E-15
5147.5,2.44E-15
5151.5,2.44E-15
5155.6,2.45E-15
5159.6,2.46E-15
5163.6,2.44E-15
5167.6,2.45E-15
5171.7,2.47E-15
5175.7,2.46E-15
5179.7,2.47E-15
5183.7,2.48E-15
5187.7,2.50E-15
5191.8,2.52E-15
5195.8,2.52E-15
5199.8,2.53E-15
5203.8,2.53E-15
5207.9,2.54E-15
5211.9,2.57E-15
5215.9,2.58E-15
5219.9,2.60E-15
5224,2.63E-15
5228,2.64E-15
5232,2.62E-15
5236,2.64E-15
5240.1,2.62E-15
5244.1,2.63E-15
5248.1,2.61E-15
5252.1,2.59E-15
5256.2,2.60E-15
5260.2,2.62E-15
5264.2,2.64E-15
5268.2,2.63E-15
5272.2,2.62E-15
5276.3,2.59E-15
5280.3,2.61E-15
5284.3,2.61E-15
5288.3,2.61E-15
5292.4,2.57E-15
