spectral_axis,intensity
3932.25,6430.111
3933.89,4185.816
3935.52,3769.045
3937.16,3546.25
3938.79,3846.842
3940.42,3418.109
3942.06,3537.279
3943.69,4091.229
3945.32,3565.195
3946.96,4267.256
3948.59,3548.092
3950.23,3818.258
3951.86,3829.715
3953.49,4090.313
3955.13,3439.99
3956.76,3904.375
3958.39,3966.28
3960.03,3905.415
3961.66,4026.034
3963.3,3159.142
3964.93,3452.567
3966.56,3604.366
3968.2,3732.496
3969.83,3592.286
3971.47,3714.958
3973.1,3856.148
3974.73,3376.129
3976.37,3511.688
3978,3572.003
3979.64,3884.132
3981.27,3663.087
3982.9,3913.835
3984.54,3781.347
3986.17,3626.693
3987.8,3613.564
3989.44,3324.584
3991.07,2774.986
3992.71,2969.911
3994.34,2536.471
3995.97,2469.151
3997.61,2451.09
3999.24,2732.847
4000.88,3038.558
4002.51,3142.488
4004.14,3087.183
4005.78,3314.117
4007.41,3740.826
4009.04,3643.563
4010.68,3746.66
4012.31,3056.783
4013.95,3406.399
4015.58,4095.598
4017.21,3926.102
4018.85,4044.321
4020.48,4097.653
4022.11,4217.382
4023.75,4206.457
4025.38,4131.993
4027.02,4025.241
4028.65,3527.718
4030.28,3541.326
4031.92,3046.387
4033.55,3212.61
4035.19,3441.683
4036.82,3627.172
4038.45,3539.776
4040.09,3989.317
4041.72,3732.372
4043.36,3994.818
4044.99,3992.563
4046.62,4024.045
4048.26,4563.801
4049.89,4225.414
4051.52,4203.276
4053.16,3988.674
4054.79,4195.444
4056.43,4123.516
4058.06,4171.149
4059.69,4536.632
4061.33,4332.153
4062.96,3794.305
4064.59,3724.054
4066.23,3928.682
4067.86,4393.688
4069.5,4473.556
4071.13,4395.551
4072.76,4238.181
4074.4,4377.614
4076.03,4552.944
4077.67,3931.6
4079.3,4115.675
4080.93,4609.125
4082.57,4294.512
4084.2,4200.271
4085.84,4566.928
4087.47,4582.899
4089.1,4550.417
4090.74,4289.172
4092.37,4139.58
4094.01,3947.597
4095.64,4102.084
4097.27,4771.065
4098.91,4313.565
4100.54,3894.399
4102.17,4479.466
4103.81,4546.342
4105.44,4247.081
4107.07,4480.709
4108.71,3847.026
4110.34,3799.221
4111.98,3793.072
4113.61,4271.882
4115.24,4359.237
4116.88,4530.522
4118.51,4192.621
4120.15,4264.924
4121.78,4572.375
4123.41,4804.271
4125.05,4309.907
4126.68,4523.415
4128.31,4491.599
4129.95,4175.664
4131.58,4281.832
4133.22,4636.622
4134.85,4152.698
4136.48,4221.905
4138.12,4540.621
4139.75,4365.414
4141.39,4513.109
4143.02,4591.175
4144.65,4515.203
4146.29,4783.283
4147.92,4961.263
4149.56,4453.352
4151.19,4814.194
4152.82,4966.227
4154.46,4871.399
4156.09,4552.874
4157.73,4185.003
4159.36,4570.533
4160.99,4540.188
4162.63,4921.222
4164.26,4476.59
4165.89,4791.936
4167.53,5122.873
4169.16,4997.721
4170.8,5054.918
4172.43,4464.355
4174.06,4732.186
4175.7,4880.096
4177.33,4917.119
4178.97,4814.709
4180.6,4990.565
4182.23,4707.691
4183.87,4676.707
4185.5,4744.753
4187.13,4413.29
4188.77,4533.081
4190.4,4935.775
4192.04,4861.26
4193.67,4887.907
4195.3,4762.053
4196.94,4782.853
4198.57,4852.501
4200.2,4833.385
4201.84,4896.613
4203.47,4937.085
4205.11,4694.685
4206.74,4814.54
4208.37,4839.186
4210.01,4514.244
4211.64,4471.427
4213.27,4377.551
4214.91,4702.687
4216.54,4509.056
4218.18,4624.489
4219.81,4907.095
4221.44,4683.433
4223.08,4563.411
4224.71,4635.29
4226.35,4444.464
4227.98,4812.833
4229.61,4855.87
4231.25,4803.863
4232.88,4508.191
4234.52,4500.704
4236.15,4391.635
4237.78,4202.228
4239.42,4510.233
4241.05,4485.193
4242.69,4181.588
4244.32,4184.978
4245.95,4184.098
4247.59,4325.205
4249.22,4522.54
4250.85,4690.249
4252.49,4588.187
4254.12,4317.202
4255.76,5121.172
4257.39,4536.537
4259.02,4567.039
4260.66,4578.501
