spectral_axis,intensity
3650,0.551014
3652,0.550108
3654,0.566622
3656,0.603615
3658,0.645821
3660,0.693408
3662,0.725303
3664,0.689612
3666,0.615002
3668,0.608515
3670,0.602709
3672,0.625709
3674,0.606023
3676,0.607722
3678,0.608515
3680,0.615512
3682,0.570701
3684,0.613302
3686,0.680123
3688,0.757028
3690,0.754705
3692,0.701113
3694,0.663524
3696,0.626701
3698,0.651117
3700,0.690405
3702,0.707514
3704,0.70301
3706,0.677007
3708,0.686326
3710,0.610527
3712,0.63061
3714,0.620101
3716,0.657207
3718,0.640127
3720,0.618316
3722,0.609507
3724,0.635227
3726,0.644602
3728,0.669303
3730,0.700801
3732,0.749606
3734,0.759719
3736,0.741902
3738,0.696325
3740,0.637209
3742,0.611121
3744,0.64211
3746,0.742213
3748,0.758727
3750,0.782124
3752,0.754507
3754,0.76782
3756,0.845716
3758,1.029805
3760,1.176901
3762,1.199108
3764,1.033714
3766,0.81232
3768,0.656103
3770,0.588206
3772,0.591718
3774,0.615002
3776,0.639702
3778,0.6531
3780,0.620214
3782,0.592115
3784,0.604918
3786,0.644602
3788,0.689527
3790,0.689102
3792,0.672928
3794,0.685023
3796,0.660125
3798,0.682021
3800,0.677206
3802,0.725614
3804,0.701622
3806,0.706126
3808,0.727909
3810,0.735812
3812,0.72941
3814,0.723518
3816,0.749408
3818,0.736406
3820,0.682927
3822,0.640127
3824,0.636105
3826,0.665819
3828,0.694513
3830,0.663921
3832,0.642308
3834,0.593418
3836,0.642421
3838,0.653412
3840,0.665422
3842,0.633924
3844,0.637521
3846,0.680123
3848,0.668311
3850,0.641912
3852,0.594919
3854,0.627324
3856,0.626502
3858,0.585713
3860,0.538607
3862,0.514615
3864,0.547417
3866,0.550816
3868,0.575828
3870,0.599111
3872,0.599621
3874,0.576706
3876,0.576507
3878,0.614804
3880,0.67341
3882,0.675308
3884,0.66021
3886,0.621319
3888,0.631516
3890,0.642223
3892,0.662306
3894,0.643526
3896,0.678905
3898,0.712528
3900,0.775213
3902,0.805805
3904,0.820024
3906,0.790424
3908,0.699526
3910,0.633017
3912,0.596619
3914,0.613302
3916,0.623217
3918,0.613812
3920,0.610725
3922,0.604408
3924,0.620922
3926,0.63381
3928,0.643413
3930,0.674118
3932,0.659615
3934,0.655423
3936,0.662618
3938,0.675421
3940,0.726124
3942,0.729013
3944,0.740514
3946,0.681624
3948,0.633414
3950,0.654318
3952,0.71842
3954,0.754818
3956,0.712811
3958,0.645906
