spectral_axis,intensity,uncertainty
3681.57,32.340328,29.807241
3683.04,22.529425,22.803713
3684.51,2.73826,1.059311
3685.98,52.936893,52.17424
3687.45,24.261396,24.519468
3688.92,35.940193,38.072731
3690.39,28.213131,26.537254
3691.86,16.456961,21.297256
3693.33,-4.750088,-1.698308
3694.8,23.300138,23.904406
3696.26,10.48676,10.558306
3697.73,14.176801,12.605906
3699.2,-1.456119,-4.296181
3700.67,45.463814,45.051888
3702.14,43.184334,41.610573
3703.61,22.29137,18.740784
3705.08,25.311838,27.015202
3706.55,20.122456,18.937359
3708.02,20.614138,19.732189
3709.49,59.909184,60.091492
3710.96,22.32267,21.556299
3712.43,17.498316,17.231913
3713.9,37.948608,38.37545
3715.37,23.358406,26.188471
3716.84,30.925835,29.940077
3718.31,36.015514,37.054081
3719.78,44.192238,41.921593
3721.25,21.623325,21.002411
3722.72,48.560871,49.563263
3724.19,41.162075,43.317112
3725.66,34.97427,36.00568
3727.13,33.560471,39.703903
3728.6,27.928226,26.835657
3730.07,31.962444,30.079357
3731.54,42.672829,43.224049
3733.01,28.28437,29.325315
3734.48,-2.304925,-3.41945
3735.95,38.787853,38.317112
3737.42,42.395058,46.015682
3738.89,-13.164639,-13.803214
3740.36,27.089067,24.195288
3741.83,25.887316,27.097986
3743.3,32.274837,34.695705
3744.77,47.565014,48.044563
3746.24,63.385464,63.392517
3747.71,41.314129,41.39592
3749.18,43.29282,42.679543
3750.65,30.186966,31.783434
3752.12,44.665607,41.888214
3753.59,27.911484,28.175976
3755.06,36.89698,40.047325
3756.53,20.463737,19.508574
3758,37.017365,36.717968
3759.47,44.401917,42.977543
3760.94,23.316069,23.139524
3762.41,35.659008,37.740547
3763.88,40.876484,42.533245
3765.35,43.602642,39.590897
3766.82,22.763863,21.577314
3768.29,37.948288,37.30069
3769.76,37.67255,34.374222
3771.23,19.800224,19.478512
3772.7,41.665081,44.264954
3774.17,39.021034,39.271164
3775.64,6.042614,6.328346
3777.11,46.020115,43.525318
3778.58,68.042671,67.936455
3780.05,61.083321,62.21603
3781.52,39.662411,37.884407
3782.99,43.660053,44.397987
3784.46,45.272091,45.064716
3785.93,62.512428,61.887642
3787.4,65.591454,63.744759
3788.87,23.063848,21.993021
3790.34,27.931162,26.244566
3791.81,52.635857,53.219494
3793.28,36.814438,36.864338
3794.75,21.048994,20.163891
3796.21,35.164108,36.462852
3797.68,33.596336,37.262272
3799.15,29.218491,26.890951
3800.62,60.590759,58.002659
3802.09,60.664486,56.193024
3803.56,66.166573,71.702042
3805.03,70.829849,71.466751
3806.5,38.521614,34.832119
3807.97,37.661758,36.597263
3809.44,28.86647,29.825979
3810.91,17.215792,14.457911
3812.38,53.046692,46.721935
3813.85,73.873672,71.68644
3815.32,57.918636,58.808521
3816.79,84.70974,82.745514
3818.26,68.869751,70.05722
3819.73,62.763134,60.417801
3821.2,31.817595,29.208757
3822.67,50.270008,46.528652
3824.14,44.971264,48.036236
3825.61,8.671843,12.986917
3827.08,11.799555,11.726697
3828.55,46.237156,40.687153
3830.02,33.355999,32.721138
3831.49,62.076332,63.06543
3832.96,37.20927,37.850471
3834.43,10.664663,9.827189
3835.9,31.637686,35.579643
3837.37,51.295921,54.032883
3838.84,18.071585,16.472727
3840.31,31.329313,33.274555
3841.78,19.139442,21.860323
3843.25,66.398491,64.362328
3844.72,44.943424,40.294632
3846.19,43.774277,39.896233
3847.66,53.513302,49.801159
3849.13,28.922821,30.174805
3850.6,40.998707,36.536499
3852.07,41.244762,40.884285
3853.54,45.554119,41.97237
3855.01,69.426613,65.495125
3856.48,35.937466,31.883894
3857.95,61.166119,59.83337
3859.42,23.62392,25.918125
3860.89,47.407967,50.244862
3862.36,70.547546,70.130928
3863.83,38.561134,35.562878
3865.3,42.931374,43.780289
3866.77,66.113174,65.592575
3868.24,72.253052,69.703255
3869.71,49.909904,47.234058
3871.18,55.124973,54.608437
3872.65,67.589546,66.514061
3874.12,49.92519,47.009026
3875.59,41.846966,40.793343
3877.06,33.086071,29.173161
3878.53,53.19017,50.942707
3880,73.47628,71.016693
3881.47,30.755165,28.372938
3882.94,33.788788,32.361881
3884.41,101.248543,77.207901
3885.88,56.478874,56.998722
3887.35,58.005138,59.565807
3888.82,69.105919,70.031052
3890.29,58.40937,60.538849
3891.76,37.086563,37.305851
3893.23,36.658554,36.433754
3894.69,30.330254,30.32984
3896.16,64.522095,63.303608
3897.63,69.536156,71.342293
3899.1,54.15004,58.017628
3900.57,83.081039,83.586884
3902.04,72.989273,70.541779
3903.51,43.493042,41.054726
3904.98,24.38195,24.203293
3906.45,39.548244,37.157265
3907.92,40.342937,41.200336
3909.39,36.050358,39.079788
3910.86,36.524357,34.136734
3912.33,48.48188,52.464882
3913.8,35.359531,31.658752
3915.27,60.588776,56.189674
3916.74,-5.060985,-3.504362
3918.21,33.889904,36.231148
3919.68,34.07053,30.822237
3921.15,34.964233,30.392639
3922.62,47.601124,49.343979
3924.09,40.334267,27.77179
3925.56,46.266926,48.694088
3927.03,8.304334,27.964317
3928.5,25.039425,24.238909
3929.97,27.475416,26.395409
3931.44,26.30352,29.605873
3932.91,38.496975,43.240139
3934.38,37.816628,34.147793
3935.85,72.484978,67.722107
3937.32,40.245316,40.994682
